row_num,game_id,game_date,game_time_et,away_team,home_team,away_team_full_name,home_team_full_name,preview_url
743,0022200743,2023-01-28,7:00 pm ET,HOU,DET,Houston Rockets,Detroit Pistons,https://www.nba.com/game/hou-vs-det-0022200743
744,0022200744,2023-01-28,7:00 pm ET,CHI,ORL,Chicago Bulls,Orlando Magic,https://www.nba.com/game/chi-vs-orl-0022200744
745,0022200745,2023-01-28,7:30 pm ET,LAC,ATL,LA Clippers,Atlanta Hawks,https://www.nba.com/game/lac-vs-atl-0022200745
746,0022200746,2023-01-28,8:00 pm ET,SAC,MIN,Sacramento Kings,Minnesota Timberwolves,https://www.nba.com/game/sac-vs-min-0022200746
747,0022200747,2023-01-28,8:00 pm ET,WAS,NOP,Washington Wizards,New Orleans Pelicans,https://www.nba.com/game/was-vs-nop-0022200747
748,0022200748,2023-01-28,8:00 pm ET,PHX,SAS,Phoenix Suns,San Antonio Spurs,https://www.nba.com/game/phx-vs-sas-0022200748
749,0022200749,2023-01-28,8:30 pm ET,LAL,BOS,Los Angeles Lakers,Boston Celtics,https://www.nba.com/game/lal-vs-bos-0022200749
750,0022200750,2023-01-28,9:00 pm ET,DAL,UTA,Dallas Mavericks,Utah Jazz,https://www.nba.com/game/dal-vs-uta-0022200750
751,0022200751,2023-01-28,10:00 pm ET,TOR,POR,Toronto Raptors,Portland Trail Blazers,https://www.nba.com/game/tor-vs-por-0022200751
752,0022200752,2023-01-29,1:00 pm ET,MIA,CHA,Miami Heat,Charlotte Hornets,https://www.nba.com/game/mia-vs-cha-0022200752
753,0022200753,2023-01-29,6:00 pm ET,IND,MEM,Indiana Pacers,Memphis Grizzlies,https://www.nba.com/game/ind-vs-mem-0022200753
754,0022200754,2023-01-29,7:00 pm ET,LAC,CLE,LA Clippers,Cleveland Cavaliers,https://www.nba.com/game/lac-vs-cle-0022200754
755,0022200755,2023-01-29,8:00 pm ET,NOP,MIL,New Orleans Pelicans,Milwaukee Bucks,https://www.nba.com/game/nop-vs-mil-0022200755
756,0022200756,2023-01-30,7:00 pm ET,ORL,PHI,Orlando Magic,Philadelphia 76ers,https://www.nba.com/game/orl-vs-phi-0022200756
757,0022200757,2023-01-30,7:30 pm ET,LAL,BKN,Los Angeles Lakers,Brooklyn Nets,https://www.nba.com/game/lal-vs-bkn-0022200757
758,0022200758,2023-01-30,8:00 pm ET,SAC,MIN,Sacramento Kings,Minnesota Timberwolves,https://www.nba.com/game/sac-vs-min-0022200758
759,0022200759,2023-01-30,8:00 pm ET,GSW,OKC,Golden State Warriors,Oklahoma City Thunder,https://www.nba.com/game/gsw-vs-okc-0022200759
760,0022200760,2023-01-30,8:00 pm ET,WAS,SAS,Washington Wizards,San Antonio Spurs,https://www.nba.com/game/was-vs-sas-0022200760
761,0022200761,2023-01-30,8:30 pm ET,DET,DAL,Detroit Pistons,Dallas Mavericks,https://www.nba.com/game/det-vs-dal-0022200761
762,0022200762,2023-01-30,9:00 pm ET,TOR,PHX,Toronto Raptors,Phoenix Suns,https://www.nba.com/game/tor-vs-phx-0022200762
763,0022200763,2023-01-30,10:00 pm ET,ATL,POR,Atlanta Hawks,Portland Trail Blazers,https://www.nba.com/game/atl-vs-por-0022200763
764,0022200764,2023-01-31,7:00 pm ET,MIA,CLE,Miami Heat,Cleveland Cavaliers,https://www.nba.com/game/mia-vs-cle-0022200764
765,0022200765,2023-01-31,7:30 pm ET,LAL,NYK,Los Angeles Lakers,New York Knicks,https://www.nba.com/game/lal-vs-nyk-0022200765
766,0022200766,2023-01-31,8:00 pm ET,LAC,CHI,LA Clippers,Chicago Bulls,https://www.nba.com/game/lac-vs-chi-0022200766
767,0022200767,2023-01-31,8:00 pm ET,CHA,MIL,Charlotte Hornets,Milwaukee Bucks,https://www.nba.com/game/cha-vs-mil-0022200767
768,0022200768,2023-01-31,10:00 pm ET,NOP,DEN,New Orleans Pelicans,Denver Nuggets,https://www.nba.com/game/nop-vs-den-0022200768
769,0022200769,2023-02-01,7:00 pm ET,WAS,DET,Washington Wizards,Detroit Pistons,https://www.nba.com/game/was-vs-det-0022200769
770,0022200770,2023-02-01,7:00 pm ET,ORL,PHI,Orlando Magic,Philadelphia 76ers,https://www.nba.com/game/orl-vs-phi-0022200770
771,0022200771,2023-02-01,7:00 pm ET,POR,MEM,Portland Trail Blazers,Memphis Grizzlies,https://www.nba.com/game/por-vs-mem-0022200771
772,0022200772,2023-02-01,7:30 pm ET,BKN,BOS,Brooklyn Nets,Boston Celtics,https://www.nba.com/game/bkn-vs-bos-0022200772
773,0022200773,2023-02-01,8:00 pm ET,OKC,HOU,Oklahoma City Thunder,Houston Rockets,https://www.nba.com/game/okc-vs-hou-0022200773
774,0022200774,2023-02-01,8:00 pm ET,GSW,MIN,Golden State Warriors,Minnesota Timberwolves,https://www.nba.com/game/gsw-vs-min-0022200774
775,0022200775,2023-02-01,8:00 pm ET,SAC,SAS,Sacramento Kings,San Antonio Spurs,https://www.nba.com/game/sac-vs-sas-0022200775
776,0022200776,2023-02-01,9:00 pm ET,TOR,UTA,Toronto Raptors,Utah Jazz,https://www.nba.com/game/tor-vs-uta-0022200776
777,0022200777,2023-02-01,10:00 pm ET,ATL,PHX,Atlanta Hawks,Phoenix Suns,https://www.nba.com/game/atl-vs-phx-0022200777
778,0022200778,2023-02-02,7:00 pm ET,LAL,IND,Los Angeles Lakers,Indiana Pacers,https://www.nba.com/game/lal-vs-ind-0022200778
779,0022200779,2023-02-02,7:30 pm ET,MEM,CLE,Memphis Grizzlies,Cleveland Cavaliers,https://www.nba.com/game/mem-vs-cle-0022200779
780,0022200780,2023-02-02,7:30 pm ET,MIA,NYK,Miami Heat,New York Knicks,https://www.nba.com/game/mia-vs-nyk-0022200780
781,0022200781,2023-02-02,8:00 pm ET,CHA,CHI,Charlotte Hornets,Chicago Bulls,https://www.nba.com/game/cha-vs-chi-0022200781
782,0022200782,2023-02-02,8:30 pm ET,NOP,DAL,New Orleans Pelicans,Dallas Mavericks,https://www.nba.com/game/nop-vs-dal-0022200782
783,0022200783,2023-02-02,9:00 pm ET,GSW,DEN,Golden State Warriors,Denver Nuggets,https://www.nba.com/game/gsw-vs-den-0022200783
784,0022200784,2023-02-02,10:00 pm ET,LAC,MIL,LA Clippers,Milwaukee Bucks,https://www.nba.com/game/lac-vs-mil-0022200784
785,0022200785,2023-02-03,7:00 pm ET,CHA,DET,Charlotte Hornets,Detroit Pistons,https://www.nba.com/game/cha-vs-det-0022200785
786,0022200786,2023-02-03,7:00 pm ET,SAC,IND,Sacramento Kings,Indiana Pacers,https://www.nba.com/game/sac-vs-ind-0022200786
787,0022200787,2023-02-03,7:00 pm ET,POR,WAS,Portland Trail Blazers,Washington Wizards,https://www.nba.com/game/por-vs-was-0022200787
788,0022200788,2023-02-03,7:30 pm ET,PHX,BOS,Phoenix Suns,Boston Celtics,https://www.nba.com/game/phx-vs-bos-0022200788
789,0022200789,2023-02-03,8:00 pm ET,TOR,HOU,Toronto Raptors,Houston Rockets,https://www.nba.com/game/tor-vs-hou-0022200789
790,0022200790,2023-02-03,8:00 pm ET,ORL,MIN,Orlando Magic,Minnesota Timberwolves,https://www.nba.com/game/orl-vs-min-0022200790
791,0022200791,2023-02-03,8:00 pm ET,PHI,SAS,Philadelphia 76ers,San Antonio Spurs,https://www.nba.com/game/phi-vs-sas-0022200791
792,0022200792,2023-02-03,9:00 pm ET,ATL,UTA,Atlanta Hawks,Utah Jazz,https://www.nba.com/game/atl-vs-uta-0022200792
793,0022200793,2023-02-04,6:00 pm ET,WAS,BKN,Washington Wizards,Brooklyn Nets,https://www.nba.com/game/was-vs-bkn-0022200793
794,0022200794,2023-02-04,7:00 pm ET,PHX,DET,Phoenix Suns,Detroit Pistons,https://www.nba.com/game/phx-vs-det-0022200794
795,0022200795,2023-02-04,7:00 pm ET,LAC,NYK,LA Clippers,New York Knicks,https://www.nba.com/game/lac-vs-nyk-0022200795
796,0022200796,2023-02-04,8:00 pm ET,POR,CHI,Portland Trail Blazers,Chicago Bulls,https://www.nba.com/game/por-vs-chi-0022200796
797,0022200797,2023-02-04,8:00 pm ET,MIA,MIL,Miami Heat,Milwaukee Bucks,https://www.nba.com/game/mia-vs-mil-0022200797
798,0022200798,2023-02-04,8:00 pm ET,LAL,NOP,Los Angeles Lakers,New Orleans Pelicans,https://www.nba.com/game/lal-vs-nop-0022200798
799,0022200799,2023-02-04,8:00 pm ET,HOU,OKC,Houston Rockets,Oklahoma City Thunder,https://www.nba.com/game/hou-vs-okc-0022200799
